TIME             CONTAINER_ID  IMAGE            UID    COMM             PID/host        TID/host        RET              EVENT                     ARGS
03:27:18:594490  1cdeb56b485d  deploy-vuln-app: 0      Thread-32 (proc  1      /43819   37     /80884   0                recvfrom                  sockfd: 6, buf: 0x78db817273f0, len: 9961472, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:18:594561  1cdeb56b485d  deploy-vuln-app: 0      Thread-32 (proc  1      /43819   37     /80884   0                close                     fd: 4
03:27:18:594653  1cdeb56b485d  deploy-vuln-app: 0      Thread-32 (proc  1      /43819   37     /80884   0                close                     fd: 6
03:27:18:597091  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884184203264  mmap                      addr: 0x0, length: 32768, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:597109  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884176265216  mmap                      addr: 0x0, length: 1060864, prot: PROT_NONE, flags: 34, fd: -1, off: 0
03:27:18:597122  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   38               clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
03:27:18:597122  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   38     /80887   0                clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db822f8a68, parent_tid: 0x78db822f8b68, child_tid: 0x78db84cc3f90, tls: 132884177324856
03:27:18:597169  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   38     /80887   132884184186880  mmap                      addr: 0x0, length: 16384, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:597201  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   132884176130048  mmap                      addr: 0x0, length: 131092, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:597220  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   153              recvfrom                  sockfd: 4, buf: 0x78db821d53f0, len: 131072, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:18:597593  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   132884184137728  mmap                      addr: 0x0, length: 49152, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:597668  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   132884176039936  mmap                      addr: 0x0, length: 90112, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:599142  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   132884174979072  mmap                      addr: 0x0, length: 1060864, prot: PROT_NONE, flags: 34, fd: -1, off: 0
03:27:18:599185  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   1      /43819   39               clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db821bea68, parent_tid: 0x78db821beb68, child_tid: 0x78db84cc3f90, tls: 132884176038712
03:27:18:599185  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   39     /80889   0                clone                     flags: CLONE_VM|CLONE_FS|CLONE_FILES|CLONE_SIGHAND|CLONE_THREAD|CLONE_SYSVSEM|CLONE_SETTLS|CLONE_PARENT_SETTID|CLONE_CHILD_CLEARTID|CLONE_DETACHED, stack: 0x78db821bea68, parent_tid: 0x78db821beb68, child_tid: 0x78db84cc3f90, tls: 132884176038712
03:27:18:599321  1cdeb56b485d  deploy-vuln-app: 0      python           1      /43819   39     /80889   132884174962688  mmap                      addr: 0x0, length: 16384, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:599374  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   132884174827520  mmap                      addr: 0x0, length: 131092, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:599391  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   153              recvfrom                  sockfd: 7, buf: 0x78db82097420, len: 131072, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:18:599670  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   132884204376064  mmap                      addr: 0x0, length: 8192, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:599726  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   132884174778368  mmap                      addr: 0x0, length: 49152, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:601322  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   0                close                     fd: 8
03:27:18:603665  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   0                close                     fd: 6
03:27:18:603740  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   0                close                     fd: 5
03:27:18:604006  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   70               write                     fd: 2, buf: 0x78db842437e0, count: 70
03:27:18:604075  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   166              sendto                    sockfd: 4, buf: 0x78db824c2a90, len: 166, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:18:604192  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   182              sendto                    sockfd: 4, buf: 0x78db8252bcb0, len: 182, flags: 0, dest_addr: map[sa_family:AF_UNSPEC], addrlen: 0
03:27:18:605203  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   132884164775936  mmap                      addr: 0x0, length: 10000053, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
03:27:18:605233  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   0                recvfrom                  sockfd: 4, buf: 0x78db81701470, len: 9961472, flags: 0, src_addr: map[sa_family:AF_UNSPEC], addrlen: 0x0
03:27:18:605249  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   0                close                     fd: 5
03:27:18:605307  1cdeb56b485d  deploy-vuln-app: 0      Thread-33 (proc  1      /43819   38     /80887   0                close                     fd: 4
03:27:18:607960  1cdeb56b485d  deploy-vuln-app: 0      Thread-34 (proc  1      /43819   39     /80889   132884177235968  mmap                      addr: 0x0, length: 90112, prot: PROT_READ|PROT_WRITE, flags: 34, fd: -1, off: 0
